"day","halfhour","shape"
"01-SA",1,0.661562534743368
"01-SA",2,0.570744622341808
"01-SA",3,0.516655014897116
"01-SA",4,0.493638972610732
"01-SA",5,0.483304490891913
"01-SA",6,0.476880120231818
"01-SA",7,0.480078553947473
"01-SA",8,0.492768648124816
"01-SA",9,0.509527798393745
"01-SA",10,0.542972046013955
"01-SA",11,0.665576146147178
"01-SA",12,0.822123437441838
"01-SA",13,1.31908805001551
"01-SA",14,1.94846670988927
"01-SA",15,2.50045110728353
"01-SA",16,2.80224308327678
"01-SA",17,2.84168759539109
"01-SA",18,2.80573042474256
"01-SA",19,2.64529681096033
"01-SA",20,2.50712149793796
"01-SA",21,2.39990301009091
"01-SA",22,2.29281107374789
"01-SA",23,2.17977383919266
"01-SA",24,2.14780775458708
"01-SA",25,2.21409176579767
"01-SA",26,2.20659251291975
"01-SA",27,2.18424412011653
"01-SA",28,2.21554506367921
"01-SA",29,2.2241863956991
"01-SA",30,2.26110583967268
"01-SA",31,2.33428103240219
"01-SA",32,2.42857637950759
"01-SA",33,2.6799791282217
"01-SA",34,2.93449413345008
"01-SA",35,3.06229948274648
"01-SA",36,3.03690149903933
"01-SA",37,3.00214321420399
"01-SA",38,2.9602055563697
"01-SA",39,2.87278355806271
"01-SA",40,2.77324779850731
"01-SA",41,2.65951110200995
"01-SA",42,2.52953077940558
"01-SA",43,2.34786249117379
"01-SA",44,2.14138817015105
"01-SA",45,1.811391716965
"01-SA",46,1.43840073622104
"01-SA",47,1.08778266202377
"01-SA",48,0.840425316132783
"01-SU",1,0.643016845822895
"01-SU",2,0.578229345955533
"01-SU",3,0.52387714006311
"01-SU",4,0.485585617475651
"01-SU",5,0.473409244733353
"01-SU",6,0.456889788297924
"01-SU",7,0.466367622093089
"01-SU",8,0.468955943430176
"01-SU",9,0.489842778213014
"01-SU",10,0.523319862848013
"01-SU",11,0.641106986391463
"01-SU",12,0.802837878547707
"01-SU",13,1.27107628854327
"01-SU",14,1.86581638906638
"01-SU",15,2.41259891880248
"01-SU",16,2.69239164750957
"01-SU",17,2.71601097646194
"01-SU",18,2.70196138087254
"01-SU",19,2.55674638657471
"01-SU",20,2.47183156471362
"01-SU",21,2.36772975158883
"01-SU",22,2.24991805733114
"01-SU",23,2.14904628809547
"01-SU",24,2.08564865338824
"01-SU",25,2.14390619940968
"01-SU",26,2.19425660554358
"01-SU",27,2.17800408262316
"01-SU",28,2.18776252390788
"01-SU",29,2.1970194784108
"01-SU",30,2.21709712176459
"01-SU",31,2.29807763570968
"01-SU",32,2.3895553777947
"01-SU",33,2.64781893517395
"01-SU",34,2.91580996650369
"01-SU",35,2.98071902579823
"01-SU",36,2.95163706060801
"01-SU",37,2.90689811827568
"01-SU",38,2.87894309855851
"01-SU",39,2.80878971630366
"01-SU",40,2.72306561866921
