# ins: insulation thickness, mm
# dia: nominal bore, mm
# pressure: steam pressure bar g
# factor: factor applied to basic heat loss
ins,dia,pressure,factor
50, 15, 1, 0.16
50, 20, 1, 0.15
50, 25, 1, 0.14
50, 32, 1, 0.13
50, 40, 1, 0.12
50, 50, 1, 0.12
50, 65, 1, 0.11
50, 80, 1, 0.1
50, 100, 1, 0.1
50, 150, 1, 0.1
50, 15, 5, 0.14
50, 20, 5, 0.13
50, 25, 5, 0.12
50, 32, 5, 0.11
50, 40, 5, 0.11
50, 50, 5, 0.10
50, 65, 5, 0.10
50, 80, 5, 0.10
50, 100, 5, 0.09
50, 150, 5, 0.09
50, 15, 15, 0.13
50, 20, 15, 0.12
50, 25, 15, 0.11
50, 32, 15, 0.10
50, 40, 15, 0.10
50, 50, 15, 0.09
50, 65, 15, 0.09
50, 80, 15, 0.08
50, 100, 15, 0.08
50, 150, 15, 0.07
50, 15, 20, 0.12
50, 20, 20, 0.11
50, 25, 20, 0.10
50, 32, 20, 0.10
50, 40, 20, 0.09
50, 50, 20, 0.08
50, 65, 20, 0.08
50, 80, 20, 0.07
50, 100, 20, 0.07
50, 150, 20, 0.07
75, 15, 1, 0.14
75, 20, 1, 0.13
75, 25, 1, 0.13
75, 32, 1, 0.11
75, 40, 1, 0.10
75, 50, 1, 0.10
75, 65, 1, 0.10
75, 80, 1, 0.09
75, 100, 1, 0.08
75, 150, 1, 0.08
75, 15, 5, 0.13
75, 20, 5, 0.11
75, 25, 5, 0.11
75, 32, 5, 0.10
75, 40, 5, 0.09
75, 50, 5, 0.09
75, 65, 5, 0.08
75, 80, 5, 0.08
75, 100, 5, 0.08
75, 150, 5, 0.07
75, 15, 15, 0.12
75, 20, 15, 0.11
75, 25, 15, 0.10
75, 32, 15, 0.09
75, 40, 15, 0.09
75, 50, 15, 0.08
75, 65, 15, 0.08
75, 80, 15, 0.07
75, 100, 15, 0.07
75, 150, 15, 0.07
75, 15, 20, 0.11
75, 20, 20, 0.10
75, 25, 20, 0.09
75, 32, 20, 0.08
75, 40, 20, 0.08
75, 50, 20, 0.07
75, 65, 20, 0.07
75, 80, 20, 0.07
75, 100, 20, 0.06
75, 150, 20, 0.06
100, 15, 1, 0.12
100, 20, 1, 0.11
100, 25, 1, 0.10
100, 32, 1, 0.10
100, 40, 1, 0.09
100, 50, 1, 0.08
100, 65, 1, 0.08
100, 80, 1, 0.07
100, 100, 1, 0.07
100, 150, 1, 0.07
100, 15, 5, 0.11
100, 20, 5, 0.10
100, 25, 5, 0.09
100, 32, 5, 0.08
100, 40, 5, 0.08
100, 50, 5, 0.08
100, 65, 5, 0.07
100, 80, 5, 0.07
100, 100, 5, 0.07
100, 150, 5, 0.06
100, 15, 15, 0.10
100, 20, 15, 0.09
100, 25, 15, 0.08
100, 32, 15, 0.08
100, 40, 15, 0.08
100, 50, 15, 0.07
100, 65, 15, 0.06
100, 80, 15, 0.06
100, 100, 15, 0.06
100, 150, 15, 0.05
100, 15, 20, 0.08
100, 20, 20, 0.07
100, 25, 20, 0.07
100, 32, 20, 0.06
100, 40, 20, 0.06
100, 50, 20, 0.06
100, 65, 20, 0.05
100, 80, 20, 0.05
100, 100, 20, 0.05
100, 150, 20, 0.04
