dt, dia,w
50, 15, 56
60, 15, 69
70, 15, 84
80, 15, 100
100,15, 135
120,15, 173
140,15, 216
160,15, 263
180,15, 313
200,15, 368
220,15, 427
50, 20, 68
60, 20, 85
70, 20, 102
80, 20, 122
100,20, 164
120,20, 210
140,20, 262
160,20, 319
180,20, 381
200,20, 448
220,20, 520
50, 25, 82
60, 25, 102
70, 25, 124
80, 25, 148
100,25, 199
120,25, 256
140,25, 319
160,25, 389
180,25, 464
200,25, 546
220,25, 634
50, 32, 100
60, 32, 125
70, 32, 152
80, 32, 180
100,32, 243
120,32, 313
140,32, 391
160,32, 476
180,32, 569
200,32, 670
220,32, 778
50, 40, 113
60, 40, 140
70, 40, 170
80, 40, 202
100,40, 272
120,40, 351
140,40, 439
160,40, 535
180,40, 640
200,40, 754
220,40, 877
50, 50, 136
60, 50, 170
70, 50, 206
80, 50, 245
100,50, 330
120,50, 426
140,50, 533
160,50, 651
180,50, 780
200,50, 919
220,50, 1069
50, 65, 168
60, 65, 208
70, 65, 252
80, 65, 299
100,65, 403
120,65, 522
140,65, 653
160,65, 799
180,65, 958
200,65, 1131
220,65, 1318
50, 80, 191
60, 80, 238
70, 80, 289
80, 80, 343
100,80, 464
120,80, 600
140,80, 751
160,80, 918
180,80, 1100
200,80, 1297
220,80, 1510
50, 100,241
60, 100,298
70, 100,360
80, 100,428
100,100,577
120,100,746
140,100,936
160,100,1145
180,100,1374
200,100,1623
220,100,1892
50, 150,332 
60, 150,412 
70, 150,500 
80, 150,594 
100,150,804 
120,150,1042
140,150,1308
160,150,1603
180,150,1925
200,150,2276
220,150,2655
